_id,Поезд_вагон,Вокзал выезда,Вокзал приезда,Время выезда ,Дата выезда,Класс вагона,Количество мест 15/06/2019,Номер вагона,Номер поезда,Продолжительность поездки (мин),Цена 15/06/2019,Количество мест 16/06/2019,Цена 16/06/2019,Количество мест 17/06/2019,Цена 17/06/2019,Количество мест 20/06/2019,Цена 20/06/2019,Количество мест 21/06/2019,Цена 21/06/2019,Количество мест 22/06/2019,Цена 22/06/2019,Количество мест 23/06/2019,Цена 23/06/2019,Количество мест 24/06/2019,Цена 24/06/2019,Количество мест 25/06/2019,Цена 25/06/2019,Количество мест 26/06/2019,Цена 26/06/2019,Количество мест 27/06/2019,Цена 27/06/2019,Количество мест 28/06/2019,Цена 28/06/2019,Количество мест 29/06/2019,Цена 29/06/2019,Количество мест 30/06/2019,Цена 30/06/2019,Количество мест 01/07/2019,Цена 01/07/2019,Количество мест 02/07/2019,Цена 02/07/2019,Количество мест 03/07/2019,Цена 03/07/2019,Количество мест 04/07/2019,Цена 04/07/2019,Количество мест 05/07/2019,Цена 05/07/2019,Количество мест 06/07/2019,Цена 06/07/2019,Количество мест 07/07/2019,Цена 07/07/2019,Количество мест 08/07/2019,Цена 08/07/2019,Количество мест 09/07/2019,Цена 09/07/2019,Количество мест 10/07/2019,Цена 10/07/2019,Количество мест 11/07/2019,Цена 11/07/2019,Количество мест 12/07/2019,Цена 12/07/2019,Количество мест 13/07/2019,Цена 13/07/2019,Количество мест 14/07/2019,Цена 14/07/2019,Количество мест 15/07/2019,Цена 15/07/2019,Количество мест 16/07/2019,Цена 16/07/2019,Количество мест 17/07/2019,Цена 17/07/2019,Количество мест 18/07/2019,Цена 18/07/2019,Количество мест 19/07/2019,Цена 19/07/2019,Количество мест 22/07/2019,Цена 22/07/2019,Количество мест 24/07/2019,Цена 24/07/2019,Количество мест 29/07/2019,Цена 29/07/2019,Количество мест 01/08/2019,Цена 01/08/2019,Количество мест 02/08/2019,Цена 02/08/2019,Количество мест 03/08/2019,Цена 03/08/2019,Количество мест 04/08/2019,Цена 04/08/2019,Количество мест 05/08/2019,Цена 05/08/2019,Количество мест 06/08/2019,Цена 06/08/2019,Количество мест 07/08/2019,Цена 07/08/2019,Количество мест 09/08/2019,Цена 09/08/2019,Количество мест 10/08/2019,Цена 10/08/2019,Количество мест 11/08/2019,Цена 11/08/2019,Количество мест 12/08/2019,Цена 12/08/2019,Количество мест 13/08/2019,Цена 13/08/2019,Количество мест 14/08/2019,Цена 14/08/2019,Количество мест 15/08/2019,Цена 15/08/2019,Количество мест 16/08/2019,Цена 16/08/2019,Количество мест 17/08/2019,Цена 17/08/2019,Количество мест 18/08/2019,Цена 18/08/2019,Количество мест 19/08/2019,Цена 19/08/2019,Количество мест 20/08/2019,Цена 20/08/2019,Количество мест 21/08/2019,Цена 21/08/2019,Количество мест 22/08/2019,Цена 22/08/2019,Количество мест 23/08/2019,Цена 23/08/2019,Количество мест 24/08/2019,Цена 24/08/2019,Количество мест 25/08/2019,Цена 25/08/2019,Количество мест 27/08/2019,Цена 27/08/2019,Количество мест 28/08/2019,Цена 28/08/2019,Количество мест 30/08/2019,Цена 30/08/2019,Количество мест 31/08/2019,Цена 31/08/2019,Количество мест 02/09/2019,Цена 02/09/2019,Количество мест 03/09/2019,Цена 03/09/2019,Количество мест 04/09/2019,Цена 04/09/2019,Количество мест 05/09/2019,Цена 05/09/2019,Количество мест 06/09/2019,Цена 06/09/2019,Количество мест 07/09/2019,Цена 07/09/2019
ObjectId("5d04fedae8e0939b92700c77"),752А+1,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,1В,17,1,752А,210,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10961.966666666665,17,10749.1,17,10749.1,17,10749.1,17,10749.1,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,12026.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11897.199999999999,17,11768.199999999999,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12322.9,17,12903.4,17,12903.4,17,12903.4,17,12903.4,17,12903.4,17,12903.4,17,12748.6,17,12748.6,16,12993.699999999999,16,12993.699999999999,16,12832.466666666665,16,13161.4,16,13161.4,14,13161.4
ObjectId("5d04fedae8e0939b92700c79"),752А+2,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,1С,44,2,752А,210,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5655.400000000001,44,5502.3,44,5502.3,44,5502.3,44,5502.3,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6417.400000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6324.900000000001,44,6232.900000000001,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,6630.1,44,7045.6,44,7045.6,44,7045.6,44,7045.6,44,7045.6,44,7045.6,44,6934.8,44,6934.8,40,7110.400000000001,40,7110.400000000001,40,6994.900000000001,39,7230.6,38,7230.6,41,7230.6
ObjectId("5d04fedae8e0939b92700c7b"),752А+3,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2С,60,3,752А,210,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2680.42,60,2604.38,60,2604.38,60,2604.38,60,2604.38,60,3057.8200000000006,60,3057.8200000000006,60,3057.8200000000006,60,3057.8200000000006,60,3057.8200000000006,58,3057.8200000000006,58,3057.8200000000006,58,3057.8200000000006,58,3057.8200000000006,56,3057.8200000000006,56,3057.8200000000006,56,3057.8200000000006,56,3057.8200000000006,56,3057.8200000000006,56,3012.2200000000003,56,3012.2200000000003,55,3012.2200000000003,55,3012.2200000000003,55,3012.2200000000003,55,3012.2200000000003,55,3012.2200000000003,54,3012.2200000000003,52,3012.2200000000003,52,3012.2200000000003,52,3012.2200000000003,47,2966.2200000000003,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3162.9,47,3368.9,47,3368.9,47,3368.9,47,3368.9,43,3368.9,43,3368.9,43,3313.9800000000005,39,3313.9800000000005,35,3401.0200000000004,33,3371.5000000000005,31,3315.0000000000005,16,3446.966666666667,17,3430.05,13,3430.05
ObjectId("5d04fedae8e0939b92700c7d"),752А+4,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2Р,55,4,752А,210,2569.72,53,2569.72,53,2569.72,53,2569.72,53,2569.72,53,2569.72,53,2569.72,53,2569.72,51,2569.72,51,2569.72,49,2569.72,49,2569.72,49,2569.72,49,2569.72,49,2569.72,49,2493.6799999999994,50,2493.6799999999994,50,2493.6799999999994,50,2493.6799999999994,50,2947.12,50,2947.12,50,2947.12,50,2947.12,50,2947.12,50,2947.12,48,2947.12,48,2947.12,48,2947.12,48,2947.12,48,2947.12,48,2947.12,48,2947.12,48,2947.12,48,2901.12,48,2901.12,47,2901.12,47,2901.12,47,2901.12,46,2901.12,46,2901.12,46,2901.12,45,2901.12,42,2901.12,39,2901.12,39,2855.5199999999995,39,3052.2,39,3052.2,39,3052.2,37,3052.2,35,3052.2,35,3052.2,34,3052.2,33,3052.2,32,3052.2,30,3052.2,30,3052.2,26,3277.6,25,3277.6,25,3277.6,25,3277.6,20,3277.6,15,3277.6,11,3221.7,10,3221.7,7,3408.4,7,3408.4,7,3347.4,6,3471.6,3,3471.6,3,3471.6
ObjectId("5d04fedae8e0939b92700c7f"),752А+5,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2Е,16,5,752А,210,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4930.1,16,4854.299999999999,16,4854.299999999999,16,4854.299999999999,16,4854.299999999999,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5311.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5265.1,16,5219.1,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5417.7,16,5625.7,16,5625.7,16,5625.7,16,5625.7,16,5625.7,16,5625.7,16,5570.299999999999,16,5570.299999999999,16,5657.6,16,5657.6,16,5600.1,16,5718.2,16,5718.2,16,5718.2
ObjectId("5d04fedae8e0939b92700c81"),752А+6,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2С,52,6,752А,210,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2705.9800000000005,52,2628.42,52,2628.42,52,2628.42,52,2628.42,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3090.5800000000004,52,3044.1800000000003,52,3044.1800000000003,52,3044.1800000000003,52,3044.1800000000003,52,3044.1800000000003,50,3044.1800000000003,50,3044.1800000000003,50,3044.1800000000003,50,3044.1800000000003,50,3044.1800000000003,50,3044.1800000000003,50,2997.1800000000003,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3197.7,50,3407.7,50,3407.7,50,3407.7,50,3407.7,48,3407.7,48,3407.7,46,3351.8199999999997,46,3351.8199999999997,45,3440.38,45,3440.38,41,3381.78,29,3531.55,25,3531.55,13,3531.55
ObjectId("5d04fedae8e0939b92700c83"),752А+7,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2С,62,7,752А,210,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2705.9800000000005,62,2628.42,62,2628.42,62,2628.42,62,2628.42,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3090.5800000000004,62,3044.1800000000003,62,3044.1800000000003,62,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,2997.1800000000003,58,3197.7,56,3197.7,56,3197.7,56,3197.7,56,3197.7,56,3197.7,56,3197.7,56,3197.7,56,3197.7,56,3197.7,56,3197.7,21,3485.3000000000006,21,3485.3000000000006,21,3485.3000000000006,21,3485.3000000000006,21,3485.3000000000006,21,3485.3000000000006,21,3427.5,20,3427.5,19,3519.1,19,3519.1,19,3458.1,18,3582.3000000000006,16,3582.3000000000006,14,3582.3000000000006
ObjectId("5d04fedae8e0939b92700c85"),752А+8,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2С,60,8,752А,210,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2705.9800000000005,60,2628.42,60,2628.42,60,2628.42,60,2628.42,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3090.5800000000004,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,3044.1800000000003,60,2997.1800000000003,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3197.7,60,3407.7,59,3407.7,59,3407.7,59,3407.7,59,3407.7,59,3407.7,59,3351.8199999999997,59,3351.8199999999997,57,3440.38,57,3440.38,55,3381.78,52,3501.1,52,3501.1,42,3501.1
ObjectId("5d04fedae8e0939b92700c87"),752А+9,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2С,64,9,752А,210,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2705.9800000000005,64,2628.42,64,2628.42,64,2628.42,64,2628.42,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,64,3090.5800000000004,63,3090.5800000000004,63,3090.5800000000004,63,3090.5800000000004,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,3044.1800000000003,63,2997.1800000000003,63,3197.7,63,3197.7,63,3197.7,63,3197.7,63,3197.7,63,3197.7,63,3197.7,62,3197.7,62,3197.7,62,3197.7,62,3197.7,62,3407.7,61,3407.7,61,3407.7,61,3407.7,59,3407.7,58,3407.7,58,3351.8199999999997,58,3351.8199999999997,58,3440.38,58,3440.38,55,3381.78,52,3501.1,50,3501.1,41,3501.1
ObjectId("5d04fedae8e0939b92700c89"),752А+10,Москва Октябрьская,Санкт-Петербург-Главн.,05:45:00,08092019,2В,44,10,752А,210,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3086.8,44,3010.5,44,3010.5,44,3010.5,44,3010.5,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3468.3,44,3421.8,44,3421.8,44,3421.8,43,3421.8,43,3421.8,43,3421.8,43,3421.8,43,3421.8,43,3421.8,41,3421.8,41,3421.8,41,3375.8,41,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3574.4,40,3782.4,40,3782.4,40,3782.4,40,3782.4,40,3782.4,40,3782.4,40,3726.5,40,3726.5,40,3814.8,40,3814.8,40,3756.8,35,3874.4,33,3874.4,27,3840.7333333333336
